participantGuid,NavTotal,TrainTotal,BGFGTotal,Skipper5-4
D63BC842-84E5-4FAF-A43F-7C0D9D552B65,9,3,0.0,0
DC7F0BB6-E473-4DE9-AAC9-100EFD732D66,23,19,0.0,0
E5905C80-513D-446B-B818-1123B729B386,5,5,0.0,0
E6C0F7B2-FB0F-4CC4-9654-6554276E2FEB,135,0,0.0,1
E7115FC5-51A5-4CC6-BAB4-FB8B18BBDF6C,21,9,0.0,0
E7F2761B-C45B-47C1-AC52-C778B0DAE3BE,11,5,0.0,0
EE1B994B-4366-4225-98B7-7C0535C65773,9,6,0.0,0
EE1D020A-5A45-48F1-AC3B-BC585044E2AD,5,5,0.0,0
EE8F7D38-BDC0-422A-90B2-27344F52B4EF,6,6,0.0,0
EF9D51F9-0557-4E25-B9CD-F7C8103E01F5,61,12,0.0,1
F04B766F-8D9B-482D-810B-9E17FCBA0C0B,4,18,9.0,0
F3C8412F-F29E-452F-B1C4-4327A33ADFB4,9,9,0.0,0
F849A99C-397F-4D8A-BDD4-D820C55A570D,41,0,0.0,1
FA8E6CBB-148A-4609-AFB5-9F96CBCF310C,11,13,4.0,0
FC42ED5E-D7AB-498A-99C2-DCEC30DF88C5,54,5,0.0,1
FC785280-CFFB-4661-AD9B-F1F26042C176,18,7,0.0,0
FFC452A9-74EA-4455-8521-5E7BFDB74D4F,39,9,2.0,0
