participantGuid	resultString
0F4DC3B2-9D67-4886-91D6-2383939E8520	"['TF,0,1507082214.1619','TFP,0,1507082216.49286','TB,0,1507082219.22583','P,19,1507082223.77912','C,19,1507082225.97788','F,9947,1507082811.42596','F,9985,1507082812.32637','F,10037,1507082812.90942','F,11446,1507082889.78258','F,11482,1507082890.18235','F,11663,1507082890.54739','F,11848,1507082891.99931','F,11909,1507082892.31408','F,12023,1507082892.63076','F,12181,1507082895.0334','F,12305,1507082895.33097','F,12382,1507082895.61424','F,12576,1507082897.86633','F,12616,1507082898.11453','F,12781,1507082898.41506','F,13518,1507082931.96969','P,13866,1507082949.80598','C,13866,1507082950.57328']"
101AC70F-4E04-4590-B034-D21CFA3DC0F7	
1320031F-847C-4D67-9592-0264E0625A92	"['P,13468,1493921789.77833','C,13468,1493921792.57776']"
13665162-31ED-4D0A-B0E6-FB6738B04CC1	"['TF,0,1508861254.11795','TB,0,1508861256.99918','TPC,0,1508861259.00112','TFP,0,1508861261.86877','TBP,0,1508861264.38632','P,10673,1508861899.16231','C,10673,1508861900.81371']"
1545C5D3-9B86-4188-8F2C-1B209279FA7C	"['TF,0,1493758220.0789','TB,0,1493758223.09361','TPC,0,1493758225.79353','TF,0,1493758230.72728']"
1785A588-BAC1-431D-B91A-14C9A106762A	"['TB,0,1509319046.32999','TF,0,1509319048.27738','TF,0,1509319050.71203','TPC,0,1509319053.04638','TPC,0,1509319055.38192','TFP,0,1509319057.08218','TBP,0,1509319060.30047','P,10869,1509319708.18753','C,10869,1509319709.25219']"
1ABD7E8C-2C98-49EC-A21B-DC52E89CFBDE	
1B777A19-5377-4AD7-BF2D-2266BD5595EE	"['TB,0,1493865087.42978','TF,0,1493865089.76101','TBP,0,1493865093.94655','TFP,0,1493865096.28087','TPC,0,1493865101.08412','BP,5124,1493865401.41827','BP,4820,1493865403.23557','BG,0,1493865423.40976','FG,0,1493865429.99089','B,4850,1493865453.35974']"
1C5875D6-4C66-46E1-BF13-734821BE9A35	"['TPC,0,1493768338.71407','TB,0,1493768341.36209','TF,0,1493768343.26192','TFP,0,1493768346.08056','TBP,0,1493768350.74701','FP,7488,1493768791.76026','FP,7517,1493768793.36017','FP,8357,1493768794.31017','FP,9041,1493768794.94318','FP,9089,1493768795.44313','FP,9491,1493768795.87901','FP,10536,1493768796.29329','FP,11255,1493768796.62678','FP,12023,1493768796.94372','FP,12616,1493768797.29233','FP,13229,1493768797.62453','FP,14136,1493768797.99116','FP,14323,1493768798.32714','FP,14711,1493768798.64161','FP,14722,1493768799.39878']"
1CB00E40-583C-4F7D-99AD-A14463885B4B	
1F30ADEF-C972-46A7-8C9C-6FCCF1E35504	[]
227A30FE-E2B3-48CD-9D79-700AFCD58485	"['TB,0,1493864882.7463','TF,0,1493864885.3771','TBP,0,1493864888.26119','TFP,0,1493864890.41062','P,7178,1493865313.63198','C,7178,1493865374.71304','B,7304,1493865382.63286','B,7217,1493865383.59901']"
232BEAAC-ECFD-4E08-9CDB-CCD342C54E6E	"['TPC,0,1517072543.36793']"
264BAFD2-0D9C-4FCE-92FC-A20E2085E829	
26506490-163E-4461-97BC-005EBCB4D8C3	"['TF,0,1510202002.15471','TB,0,1510202004.9849','TBP,0,1510202008.32039','TFP,0,1510202011.38744','TPC,0,1510202013.5185']"
